0,place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
1,S.E.C. Group Company Limited,13.758408,100.5649,-10,26350,33325,30,20,0
2,"ThaiGerTec Co.,Ltd.",13.759992,100.566858,-10,36042,43021,776,56,0
3,Siam City Insurance,13.760205,100.56675,10,1213,3864,478,0,13
4,"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.5661,20,23357,29557,748,0,7
5,"Janssen-Cilag Co.,Ltd.",13.76118,100.565752,-10,12482,14226,469,28,0
6,Sis Distribution Thailand PCL,13.761259,100.565804,-40,20058,21775,294,48,0
7,Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079,-20,37446,41141,462,4,0
8,Johnson & Johnson Vision Care (Thailand),13.761275,100.566206,10,21445,27245,787,0,32
9,"Wiko Thailand Co.,Ltd.",13.761339,100.566094,40,17995,20315,274,0,16
10,"Settrade Dot Com Co.,Ltd.",13.76386,100.567793,-40,14964,21247,220,58,0
11,"Inspur (thailand) Co.,Ltd.",13.764311,100.568371,-30,10309,16272,884,39,0
12,"Airpay (thailand) Co.,Ltd.",13.764485,100.568251,-20,25600,31194,429,64,0
13,"Nas Trading (Thailand) Co.,Ltd.",13.76486,100.568303,-10,8263,13109,25,3,0
14,"Thai San Miguel Liquor Co.,Ltd.",13.76688,100.570499,-40,31615,36314,721,59,0
15,"Thai Health Insurance Co.,Ltd",13.767422,100.570531,-10,42462,44066,483,33,0
16,Promise Company Ltd Thailand,13.768903,100.571635,-40,25069,28573,346,9,0
17,Alaina,13.77214,100.573009,10,25057,32101,38,0,50
18,"Synergysoft Solution Co.,Ltd.",13.772767,100.572677,20,24131,25926,371,0,78
19,The Emerald Hotel Bangkok,13.77535,100.572713,-40,24279,25807,583,47,0
20,"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947,10,11396,17454,398,0,1
21,Swissotel Le Concorde Bangkok,13.776287,100.574007,20,31117,32792,572,0,57
22,LDS Sermsrap Building,13.780011,100.573355,-40,35796,39262,154,24,0
