0,place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
1,S.E.C. Group Company Limited,13.758408,100.5649,-40,39477,45039,394,46,0
2,"ThaiGerTec Co.,Ltd.",13.759992,100.566858,-10,15176,19044,90,5,0
3,Siam City Insurance,13.760205,100.56675,20,25916,29278,847,0,17
4,"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.5661,30,20459,25904,833,0,70
5,"Janssen-Cilag Co.,Ltd.",13.76118,100.565752,10,873,5328,42,0,2
6,Sis Distribution Thailand PCL,13.761259,100.565804,-10,31963,35091,575,24,0
7,Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079,-10,22287,26626,626,71,0
8,Johnson & Johnson Vision Care (Thailand),13.761275,100.566206,-20,20631,24540,8,75,0
9,"Wiko Thailand Co.,Ltd.",13.761339,100.566094,30,31454,34036,802,0,51
10,"Settrade Dot Com Co.,Ltd.",13.76386,100.567793,-20,21451,25019,67,59,0
11,"Inspur (thailand) Co.,Ltd.",13.764311,100.568371,-30,36449,38876,422,48,0
12,"Airpay (thailand) Co.,Ltd.",13.764485,100.568251,10,12476,16169,36,0,56
13,"Nas Trading (Thailand) Co.,Ltd.",13.76486,100.568303,10,13330,15739,78,0,73
14,"Thai San Miguel Liquor Co.,Ltd.",13.76688,100.570499,10,19081,22222,771,0,76
15,"Thai Health Insurance Co.,Ltd",13.767422,100.570531,20,25958,27808,460,0,60
16,Promise Company Ltd Thailand,13.768903,100.571635,-20,22349,27290,138,50,0
17,Alaina,13.77214,100.573009,-20,38560,41027,881,3,0
18,"Synergysoft Solution Co.,Ltd.",13.772767,100.572677,20,16305,18505,594,0,57
19,The Emerald Hotel Bangkok,13.77535,100.572713,30,12692,19300,169,0,20
20,"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947,-30,23077,24371,463,19,0
21,Swissotel Le Concorde Bangkok,13.776287,100.574007,30,5340,6560,168,0,54
22,LDS Sermsrap Building,13.780011,100.573355,-40,23865,29324,554,66,0
23,"Mitsubishi (Nanyang Motor (1998) Co.,Ltd.)",13.784776,100.573489,20,12206,15482,549,0,39
24,Poseidon Entertainment Complex,13.785378,100.573671,10,16995,21636,205,0,6
25,"Muang Thai Insurance Co.,Ltd.",13.785774,100.574266,30,6499,13375,421,0,45
26,Centric Ratchada-Suthisan,13.789918,100.573567,-10,22052,23566,212,38,0
