place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
S.E.C. Group Company Limited,13.758408,100.5649,,,,,0,2
"ThaiGerTec Co.,Ltd.",13.759992,100.566858,,,,,1,0
Siam City Insurance,13.760205,100.56675,,,,,0,35
"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.5661,,,,,0,64
"Janssen-Cilag Co.,Ltd.",13.76118,100.565752,,,,,48,0
Sis Distribution Thailand PCL,13.761259,100.565804,,,,,70,0
Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079,,,,,61,0
Johnson & Johnson Vision Care (Thailand),13.761275,100.566206,,,,,0,13
"Wiko Thailand Co.,Ltd.",13.761339,100.566094,,,,,36,0
"Settrade Dot Com Co.,Ltd.",13.76386,100.567793,,,,,0,54
"Inspur (thailand) Co.,Ltd.",13.764311,100.568371,,,,,38,0
"Airpay (thailand) Co.,Ltd.",13.764485,100.568251,,,,,0,24
"Nas Trading (Thailand) Co.,Ltd.",13.76486,100.568303,,,,,8,0
"Thai San Miguel Liquor Co.,Ltd.",13.76688,100.570499,,,,,39,0
"Thai Health Insurance Co.,Ltd",13.767422,100.570531,,,,,78,0
Promise Company Ltd Thailand,13.768903,100.571635,,,,,25,0
Alaina,13.77214,100.573009,,,,,20,0
"Synergysoft Solution Co.,Ltd.",13.772767,100.572677,,,,,31,0
The Emerald Hotel Bangkok,13.77535,100.572713,,,,,0,71
"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947,,,,,0,17
Swissotel Le Concorde Bangkok,13.776287,100.574007,,,,,65,0
LDS Sermsrap Building,13.780011,100.573355,,,,,0,49
"Mitsubishi (Nanyang Motor (1998) Co.,Ltd.)",13.784776,100.573489,,,,,0,41
Poseidon Entertainment Complex,13.785378,100.573671,,,,,12,0
"Muang Thai Insurance Co.,Ltd.",13.785774,100.574266,,,,,0,16
Centric Ratchada-Suthisan,13.789918,100.573567,,,,,55,0
Sutthisan Police Station,13.791643,100.574056,,,,,56,0
Olympia Thai Company Limited,13.800055,100.575025,,,,,72,0
Bangkok North Municipal Court,13.811318,100.574536,,,,,0,59
The Court of Appeals,13.812652,100.574784,,,,,33,0
Department of Trade,13.81233,100.575661,,,,,0,18
Civil Court (Ratchada),13.81406,100.574777,,,,,44,0
Phahon Yothin Police Station,13.8258,100.569827,,,,,0,30
Chevron Thailand Exploration and Production LTD.,13.827067,100.566183,,,,,45,0
Siam Commercial Bank Park (SCB. Park Plaza),13.828175,100.564984,,,,,3,0
Supalai Park Ratchayothin,13.830544,100.561589,,,,,0,9
Super ratchayothin Company Limited,13.830145,100.561103,,,,,43,0
NakhonChaiAir Bus Station,13.828089,100.552213,,,,,0,11
Central Plaza Ladprao,13.816406,100.560817,,,,,0,14
Union Mall,13.812724,100.562365,,,,,0,74
Thai Airways International Public Company Limited,13.804657,100.561158,,,,,23,0
Thairath Newspaper,13.804779,100.558903,,,,,0,67
Bangkok Airways,13.806217,100.559521,,,,,0,37
Spring News Corporation Limited,13.806963,100.559399,,,,,0,32
"Fuji Xerox (Thailand) Co.,Ltd",13.808399,100.558816,,,,,0,34
TMB Bank Pulic Company Limited,13.808306,100.557804,,,,,66,0
THE LINE Jatujak-Morchit,13.80621,100.556202,,,,,57,0
"Bangkok Broadcasting & TV Co.,Ltd",13.803138,100.556413,,,,,0,5
Transport Chatuchak,13.798673,100.553211,,,,,22,0
Wannasorn,13.758205,100.534962,,,,,63,0
The Ministry of Foreign Affairs,13.762863,100.525626,,,,,0,75
The Department of Highways,13.761772,100.524523,,,,,76,0
Royal Thai Police,13.744256,100.537408,,,,,79,0
Siamkit Building,13.743937,100.534893,,,,,10,0
Siam Center,13.746298,100.532809,,,,,0,26
King Chulalongkorn Memorial Hospital,13.730903,100.53558,,,,,0,27
Chamchuri Square,13.73305,100.529675,,,,,0,47
Ministry of Defence,13.751768,100.494593,,,,,69,0
Ministry of Interior,13.75068,100.496686,,,,,29,0
Territorial Defence Command,13.747122,100.495222,,,,,0,77
Ministry of Finance,13.781515,100.535717,,,,,0,7
Central Jucenile and Family Court,13.79872,100.540997,,,,,0,80
Emirates Office,13.743879,100.562742,,,,,0,50
"G.M.M. Media Public Co.,Ltd.",13.743534,100.562553,,,,,4,0
Ocean Life Insurance,13.742856,100.562025,,,,,0,21
Sheraton Grande Sukhumvit,13.737581,100.559036,,,,,0,46
JW Marriott Hotel Bangkok,13.741878,100.551934,,,,,42,0
Mitr Phol Sugar Corporation Lid.,13.741389,100.552351,,,,,0,73
The Okura Prestige Bangkok,13.742633,100.547877,,,,,0,58
Queen Sirikit National Convention Center,13.724092,100.55881,,,,,0,6
FYI Center,13.720459,100.559697,,,,,19,0
The Thai life Assurance Association,13.723134,100.548262,,,,,0,28
SO Sofitel Bangkok,13.726081,100.543368,,,,,68,0
Hewlett-Packard (Thailand) Ltd.,13.727372,100.540598,,,,,40,0
Reuters Software (Thailand) Ltd.,13.727269,100.540842,,,,,51,0
CP All Public Co.Ltd,13.727432,100.532824,,,,,0,52
"The Nielsen Company (Thailand) Co.,LTD",13.726928,100.531413,,,,,60,0
Srilankan Airlines,13.726982,100.52845,,,,,0,15
AIS Tower1,13.783466,100.546388,,,,,0,53
"IBM Solutions Delivery Co.,Ltd.",13.781012,100.545744,,,,,62,0
