0,place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
1,S.E.C. Group Company Limited,13.758408,100.5649,-20,11575,17275,398,7,0
2,"ThaiGerTec Co.,Ltd.",13.759992,100.566858,-30,24692,28028,372,70,0
3,Siam City Insurance,13.760205,100.56675,-30,25451,27147,782,6,0
4,"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.5661,30,4916,10799,577,0,25
5,"Janssen-Cilag Co.,Ltd.",13.76118,100.565752,10,22839,24339,499,0,47
6,Sis Distribution Thailand PCL,13.761259,100.565804,30,17416,20758,492,0,3
7,Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079,20,811,4761,225,0,1
8,Johnson & Johnson Vision Care (Thailand),13.761275,100.566206,40,30999,37452,396,0,19
9,"Wiko Thailand Co.,Ltd.",13.761339,100.566094,30,10758,14476,13,0,10
10,"Settrade Dot Com Co.,Ltd.",13.76386,100.567793,-30,19386,22158,81,9,0
11,"Inspur (thailand) Co.,Ltd.",13.764311,100.568371,30,269,2303,866,0,16
12,"Airpay (thailand) Co.,Ltd.",13.764485,100.568251,-30,36396,41784,170,79,0
13,"Nas Trading (Thailand) Co.,Ltd.",13.76486,100.568303,-30,26069,27911,872,51,0
14,"Thai San Miguel Liquor Co.,Ltd.",13.76688,100.570499,30,17621,19539,592,0,72
15,"Thai Health Insurance Co.,Ltd",13.767422,100.570531,40,13041,19747,101,0,58
16,Promise Company Ltd Thailand,13.768903,100.571635,-30,8544,11379,552,11,0
17,Alaina,13.77214,100.573009,40,16322,19692,425,0,76
18,"Synergysoft Solution Co.,Ltd.",13.772767,100.572677,20,14082,19686,503,0,43
19,The Emerald Hotel Bangkok,13.77535,100.572713,-40,41078,46674,789,8,0
20,"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947,-20,21039,23055,831,54,0
21,Swissotel Le Concorde Bangkok,13.776287,100.574007,-40,26297,31344,69,26,0
22,LDS Sermsrap Building,13.780011,100.573355,40,4721,6949,699,0,36
23,"Mitsubishi (Nanyang Motor (1998) Co.,Ltd.)",13.784776,100.573489,-40,13326,16144,217,42,0
24,Poseidon Entertainment Complex,13.785378,100.573671,30,30589,31834,603,0,34
25,"Muang Thai Insurance Co.,Ltd.",13.785774,100.574266,-30,21046,26539,416,4,0
26,Centric Ratchada-Suthisan,13.789918,100.573567,40,16820,21553,14,0,21
27,Sutthisan Police Station,13.791643,100.574056,20,24828,29216,304,0,29
28,Olympia Thai Company Limited,13.800055,100.575025,-10,27678,29787,769,64,0
29,Bangkok North Municipal Court,13.811318,100.574536,-20,38512,40885,204,27,0
30,The Court of Appeals,13.812652,100.574784,40,33097,34954,111,0,63
31,Department of Trade,13.81233,100.575661,20,15929,21158,476,0,65
32,Civil Court (Ratchada),13.81406,100.574777,10,9279,12743,278,0,73
33,Phahon Yothin Police Station,13.8258,100.569827,30,997,3110,534,0,41
34,Chevron Thailand Exploration and Production LTD.,13.827067,100.566183,-30,37718,39202,86,24,0
35,Siam Commercial Bank Park (SCB. Park Plaza),13.828175,100.564984,20,13669,15656,164,0,44
