0,place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
1,S.E.C. Group Company Limited,13.758408,100.5649,-30,20102,27290,381,0,7
2,"ThaiGerTec Co.,Ltd.",13.759992,100.566858,-20,26302,28906,63,0,56
3,Siam City Insurance,13.760205,100.56675,30,25652,27062,642,15,0
4,"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.5661,-40,25146,28358,474,0,16
5,"Janssen-Cilag Co.,Ltd.",13.76118,100.565752,-40,41672,47815,207,0,6
6,Sis Distribution Thailand PCL,13.761259,100.565804,-10,41441,43837,57,5,0
7,Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079,20,19049,25385,567,1,0
8,Johnson & Johnson Vision Care (Thailand),13.761275,100.566206,20,5225,12392,107,0,41
9,"Wiko Thailand Co.,Ltd.",13.761339,100.566094,40,5181,7619,376,66,0
10,"Settrade Dot Com Co.,Ltd.",13.76386,100.567793,-20,30882,37508,798,0,26
11,"Inspur (thailand) Co.,Ltd.",13.764311,100.568371,-20,31712,35878,36,0,70
12,"Airpay (thailand) Co.,Ltd.",13.764485,100.568251,-30,14806,21386,172,80,0
13,"Nas Trading (Thailand) Co.,Ltd.",13.76486,100.568303,40,28745,31340,488,21,0
14,"Thai San Miguel Liquor Co.,Ltd.",13.76688,100.570499,-20,20183,24345,93,57,0
15,"Thai Health Insurance Co.,Ltd",13.767422,100.570531,-40,26635,31322,692,0,3
16,Promise Company Ltd Thailand,13.768903,100.571635,40,11834,14896,449,4,0
17,Alaina,13.77214,100.573009,10,13006,16814,640,0,75
18,"Synergysoft Solution Co.,Ltd.",13.772767,100.572677,20,17289,18585,708,0,51
19,The Emerald Hotel Bangkok,13.77535,100.572713,-40,10282,11638,412,55,0
20,"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947,-40,12674,19714,669,0,68
21,Swissotel Le Concorde Bangkok,13.776287,100.574007,-40,39687,45065,16,0,13
22,LDS Sermsrap Building,13.780011,100.573355,-30,15770,17050,348,34,0
23,"Mitsubishi (Nanyang Motor (1998) Co.,Ltd.)",13.784776,100.573489,-30,26723,31983,478,49,0
24,Poseidon Entertainment Complex,13.785378,100.573671,30,1805,7010,189,0,45
25,"Muang Thai Insurance Co.,Ltd.",13.785774,100.574266,-40,32762,38225,287,0,78
26,Centric Ratchada-Suthisan,13.789918,100.573567,-10,15799,21677,482,10,0
27,Sutthisan Police Station,13.791643,100.574056,-40,39421,45671,126,74,0
