0,place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
1,S.E.C. Group Company Limited,13.758408,100.5649,-10,31598,34719,642,0,3
2,"ThaiGerTec Co.,Ltd.",13.759992,100.566858,-30,30424,35723,107,58,0
3,Siam City Insurance,13.760205,100.56675,40,12681,16204,568,1,0
4,"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.5661,40,17763,24110,878,0,36
5,"Janssen-Cilag Co.,Ltd.",13.76118,100.565752,-30,24169,27059,724,26,0
6,Sis Distribution Thailand PCL,13.761259,100.565804,-30,29134,34250,741,30,0
7,Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079,20,20230,22691,315,49,0
8,Johnson & Johnson Vision Care (Thailand),13.761275,100.566206,40,20093,27059,274,0,15
9,"Wiko Thailand Co.,Ltd.",13.761339,100.566094,20,13279,16380,574,0,51
10,"Settrade Dot Com Co.,Ltd.",13.76386,100.567793,-10,21903,27528,559,38,0
11,"Inspur (thailand) Co.,Ltd.",13.764311,100.568371,-20,37576,40777,499,0,31
12,"Airpay (thailand) Co.,Ltd.",13.764485,100.568251,-10,31651,33740,107,0,77
13,"Nas Trading (Thailand) Co.,Ltd.",13.76486,100.568303,-40,24085,26443,415,0,19
14,"Thai San Miguel Liquor Co.,Ltd.",13.76688,100.570499,-30,38308,45334,352,0,21
15,"Thai Health Insurance Co.,Ltd",13.767422,100.570531,-20,34112,40743,165,8,0
16,Promise Company Ltd Thailand,13.768903,100.571635,40,16273,21646,667,41,0
17,Alaina,13.77214,100.573009,20,19455,24718,898,67,0
18,"Synergysoft Solution Co.,Ltd.",13.772767,100.572677,20,12745,19398,61,34,0
19,The Emerald Hotel Bangkok,13.77535,100.572713,-20,39521,44671,262,13,0
20,"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947,10,17284,24462,169,0,42
21,Swissotel Le Concorde Bangkok,13.776287,100.574007,30,3475,8525,611,14,0
22,LDS Sermsrap Building,13.780011,100.573355,-30,45880,49127,23,0,25
23,"Mitsubishi (Nanyang Motor (1998) Co.,Ltd.)",13.784776,100.573489,-10,22694,24013,189,0,46
24,Poseidon Entertainment Complex,13.785378,100.573671,-10,22223,26502,110,0,32
25,"Muang Thai Insurance Co.,Ltd.",13.785774,100.574266,10,11832,16319,541,22,0
26,Centric Ratchada-Suthisan,13.789918,100.573567,-20,36835,38974,190,0,5
27,Sutthisan Police Station,13.791643,100.574056,-40,13794,18839,762,0,80
28,Olympia Thai Company Limited,13.800055,100.575025,30,10379,14980,577,78,0
29,Bangkok North Municipal Court,13.811318,100.574536,10,29597,33617,299,0,72
30,The Court of Appeals,13.812652,100.574784,-20,22135,25009,606,0,6
31,Department of Trade,13.81233,100.575661,-40,23019,29207,460,11,0
32,Civil Court (Ratchada),13.81406,100.574777,10,7724,14341,623,24,0
33,Phahon Yothin Police Station,13.8258,100.569827,20,27685,30481,632,43,0
34,Chevron Thailand Exploration and Production LTD.,13.827067,100.566183,-40,29085,34826,269,0,18
35,Siam Commercial Bank Park (SCB. Park Plaza),13.828175,100.564984,40,24855,28374,233,54,0
36,Supalai Park Ratchayothin,13.830544,100.561589,40,178,4336,816,4,0
37,Super ratchayothin Company Limited,13.830145,100.561103,20,16182,21208,851,0,47
38,NakhonChaiAir Bus Station,13.828089,100.552213,-10,25953,31801,24,0,10
39,Central Plaza Ladprao,13.816406,100.560817,20,27117,28510,821,71,0
40,Union Mall,13.812724,100.562365,40,16343,18436,108,0,55
41,Thai Airways International Public Company Limited,13.804657,100.561158,-10,23710,27807,656,0,16
42,Thairath Newspaper,13.804779,100.558903,-40,22344,27178,879,20,0
43,Bangkok Airways,13.806217,100.559521,-10,38854,45970,231,0,33
44,Spring News Corporation Limited,13.806963,100.559399,-30,25266,32428,529,65,0
45,"Fuji Xerox (Thailand) Co.,Ltd",13.808399,100.558816,-30,21794,26034,863,52,0
46,TMB Bank Pulic Company Limited,13.808306,100.557804,-20,24051,29631,667,23,0
47,THE LINE Jatujak-Morchit,13.80621,100.556202,20,30296,32291,53,37,0
48,"Bangkok Broadcasting & TV Co.,Ltd",13.803138,100.556413,30,17480,19221,322,0,63
49,Transport Chatuchak,13.798673,100.553211,-20,32694,37638,628,0,7
50,Wannasorn,13.758205,100.534962,30,26562,29880,179,60,0
51,The Ministry of Foreign Affairs,13.762863,100.525626,40,26050,28066,494,9,0
52,The Department of Highways,13.761772,100.524523,40,4114,7523,93,0,45
53,Royal Thai Police,13.744256,100.537408,30,9790,15873,629,0,76
54,Siamkit Building,13.743937,100.534893,-40,38374,41964,672,0,35
55,Siam Center,13.746298,100.532809,20,28840,30427,21,40,0
56,King Chulalongkorn Memorial Hospital,13.730903,100.53558,30,21765,26632,674,69,0
57,Chamchuri Square,13.73305,100.529675,-30,14652,21460,457,0,75
58,Ministry of Defence,13.751768,100.494593,10,9603,14599,324,0,2
59,Ministry of Interior,13.75068,100.496686,30,27912,33351,295,0,64
60,Territorial Defence Command,13.747122,100.495222,-30,35047,36377,270,0,50
61,Ministry of Finance,13.781515,100.535717,30,15880,17972,452,0,66
62,Central Jucenile and Family Court,13.79872,100.540997,10,12508,15870,275,70,0
63,Emirates Office,13.743879,100.562742,10,13238,15413,528,48,0
