0,place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
1,S.E.C. Group Company Limited,13.758408,100.5649,-10,24998,27273,854,0,60
2,"ThaiGerTec Co.,Ltd.",13.759992,100.566858,-20,31845,33620,735,47,0
3,Siam City Insurance,13.760205,100.56675,30,16619,22852,295,0,63
4,"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.5661,10,3298,10012,400,0,71
5,"Janssen-Cilag Co.,Ltd.",13.76118,100.565752,-40,21198,24937,209,56,0
6,Sis Distribution Thailand PCL,13.761259,100.565804,-30,28164,31362,654,8,0
7,Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079,30,22877,27567,386,74,0
8,Johnson & Johnson Vision Care (Thailand),13.761275,100.566206,40,348,7270,15,0,6
9,"Wiko Thailand Co.,Ltd.",13.761339,100.566094,30,24412,27237,763,30,0
10,"Settrade Dot Com Co.,Ltd.",13.76386,100.567793,-20,44196,45624,279,80,0
11,"Inspur (thailand) Co.,Ltd.",13.764311,100.568371,-10,40569,45136,152,18,0
12,"Airpay (thailand) Co.,Ltd.",13.764485,100.568251,-40,22059,23776,588,79,0
13,"Nas Trading (Thailand) Co.,Ltd.",13.76486,100.568303,-30,37250,42870,152,0,70
14,"Thai San Miguel Liquor Co.,Ltd.",13.76688,100.570499,-20,28829,35223,357,73,0
15,"Thai Health Insurance Co.,Ltd",13.767422,100.570531,-20,43309,45554,345,0,61
16,Promise Company Ltd Thailand,13.768903,100.571635,-30,37899,41235,207,0,54
17,Alaina,13.77214,100.573009,30,13973,19219,564,23,0
18,"Synergysoft Solution Co.,Ltd.",13.772767,100.572677,40,11972,14944,573,0,11
19,The Emerald Hotel Bangkok,13.77535,100.572713,-10,25415,29651,689,0,51
20,"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947,40,20160,23428,65,72,0
21,Swissotel Le Concorde Bangkok,13.776287,100.574007,10,21346,28234,380,0,41
22,LDS Sermsrap Building,13.780011,100.573355,-10,36154,39349,352,58,0
23,"Mitsubishi (Nanyang Motor (1998) Co.,Ltd.)",13.784776,100.573489,-30,16266,21184,239,0,17
24,Poseidon Entertainment Complex,13.785378,100.573671,10,24889,26913,295,53,0
25,"Muang Thai Insurance Co.,Ltd.",13.785774,100.574266,30,9198,12304,477,0,39
26,Centric Ratchada-Suthisan,13.789918,100.573567,-40,27334,31791,453,28,0
27,Sutthisan Police Station,13.791643,100.574056,-10,37685,40820,283,40,0
28,Olympia Thai Company Limited,13.800055,100.575025,40,10927,16983,314,0,26
29,Bangkok North Municipal Court,13.811318,100.574536,10,26906,28688,843,0,55
30,The Court of Appeals,13.812652,100.574784,-20,41911,48900,750,0,9
31,Department of Trade,13.81233,100.575661,-30,24257,27429,392,43,0
32,Civil Court (Ratchada),13.81406,100.574777,-40,16314,21732,820,0,68
33,Phahon Yothin Police Station,13.8258,100.569827,20,32842,37097,404,67,0
34,Chevron Thailand Exploration and Production LTD.,13.827067,100.566183,-40,28097,33718,779,0,75
