0,place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
1,S.E.C. Group Company Limited,13.758408,100.5649,30,10819,15794,764,0,34
2,"ThaiGerTec Co.,Ltd.",13.759992,100.566858,20,27191,32555,335,0,49
3,Siam City Insurance,13.760205,100.56675,-10,17413,23582,490,7,0
4,"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.5661,40,3199,5056,862,0,59
5,"Janssen-Cilag Co.,Ltd.",13.76118,100.565752,-40,13974,16145,656,22,0
6,Sis Distribution Thailand PCL,13.761259,100.565804,10,20683,27145,634,0,74
7,Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079,10,9101,11855,292,0,3
8,Johnson & Johnson Vision Care (Thailand),13.761275,100.566206,-40,41009,47199,738,53,0
9,"Wiko Thailand Co.,Ltd.",13.761339,100.566094,-20,19988,23967,325,70,0
10,"Settrade Dot Com Co.,Ltd.",13.76386,100.567793,40,14088,15950,687,0,60
11,"Inspur (thailand) Co.,Ltd.",13.764311,100.568371,-10,12637,18914,896,63,0
12,"Airpay (thailand) Co.,Ltd.",13.764485,100.568251,40,7732,14586,241,0,44
13,"Nas Trading (Thailand) Co.,Ltd.",13.76486,100.568303,10,28080,29866,782,0,67
14,"Thai San Miguel Liquor Co.,Ltd.",13.76688,100.570499,10,30746,33738,354,0,26
15,"Thai Health Insurance Co.,Ltd",13.767422,100.570531,-40,29486,34261,24,30,0
16,Promise Company Ltd Thailand,13.768903,100.571635,-30,32280,37053,104,40,0
17,Alaina,13.77214,100.573009,-10,25695,31178,764,66,0
18,"Synergysoft Solution Co.,Ltd.",13.772767,100.572677,10,10505,14205,661,0,43
19,The Emerald Hotel Bangkok,13.77535,100.572713,-30,34681,38418,466,50,0
20,"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947,-30,37795,43373,781,39,0
21,Swissotel Le Concorde Bangkok,13.776287,100.574007,40,22801,28587,894,0,79
