0,place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
1,S.E.C. Group Company Limited,13.758408,100.5649,-10,36715,38621,261,32,0
2,"ThaiGerTec Co.,Ltd.",13.759992,100.566858,-40,15177,19565,698,18,0
3,Siam City Insurance,13.760205,100.56675,20,28686,34735,175,37,0
4,"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.5661,10,19627,26436,101,25,0
5,"Janssen-Cilag Co.,Ltd.",13.76118,100.565752,-20,28609,34954,369,64,0
6,Sis Distribution Thailand PCL,13.761259,100.565804,-20,13112,17710,451,0,60
7,Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079,30,24565,27966,446,57,0
8,Johnson & Johnson Vision Care (Thailand),13.761275,100.566206,20,8552,12458,895,44,0
9,"Wiko Thailand Co.,Ltd.",13.761339,100.566094,20,14009,15730,390,0,51
10,"Settrade Dot Com Co.,Ltd.",13.76386,100.567793,-10,27416,28947,61,0,66
11,"Inspur (thailand) Co.,Ltd.",13.764311,100.568371,-40,40989,44350,253,0,59
12,"Airpay (thailand) Co.,Ltd.",13.764485,100.568251,-30,16573,19342,654,63,0
13,"Nas Trading (Thailand) Co.,Ltd.",13.76486,100.568303,-20,41698,44152,331,0,30
14,"Thai San Miguel Liquor Co.,Ltd.",13.76688,100.570499,-30,20010,23305,828,0,42
15,"Thai Health Insurance Co.,Ltd",13.767422,100.570531,-10,15553,18362,122,35,0
16,Promise Company Ltd Thailand,13.768903,100.571635,30,5093,9016,125,55,0
17,Alaina,13.77214,100.573009,40,25440,32248,111,65,0
18,"Synergysoft Solution Co.,Ltd.",13.772767,100.572677,10,1625,4306,187,0,2
19,The Emerald Hotel Bangkok,13.77535,100.572713,-20,44794,47269,146,28,0
20,"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947,10,25292,27261,294,0,33
21,Swissotel Le Concorde Bangkok,13.776287,100.574007,30,25061,29695,381,0,23
22,LDS Sermsrap Building,13.780011,100.573355,-30,12549,19137,829,0,47
23,"Mitsubishi (Nanyang Motor (1998) Co.,Ltd.)",13.784776,100.573489,-10,21625,28417,838,21,0
