0,place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
1,S.E.C. Group Company Limited,13.758408,100.5649,-40,14661,20777,567,21,0
2,"ThaiGerTec Co.,Ltd.",13.759992,100.566858,-30,20580,24472,792,0,36
3,Siam City Insurance,13.760205,100.56675,10,27432,33176,172,60,0
4,"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.5661,30,15172,20216,500,16,0
5,"Janssen-Cilag Co.,Ltd.",13.76118,100.565752,-20,23958,26924,669,11,0
6,Sis Distribution Thailand PCL,13.761259,100.565804,-10,24835,27637,2,0,54
7,Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079,30,17322,23598,47,24,0
8,Johnson & Johnson Vision Care (Thailand),13.761275,100.566206,40,11882,17461,46,66,0
9,"Wiko Thailand Co.,Ltd.",13.761339,100.566094,10,13288,19690,442,77,0
10,"Settrade Dot Com Co.,Ltd.",13.76386,100.567793,-20,21093,24061,116,0,20
11,"Inspur (thailand) Co.,Ltd.",13.764311,100.568371,-30,40280,45908,572,0,5
12,"Airpay (thailand) Co.,Ltd.",13.764485,100.568251,-10,19973,23636,630,0,42
13,"Nas Trading (Thailand) Co.,Ltd.",13.76486,100.568303,-40,17757,19960,618,0,57
14,"Thai San Miguel Liquor Co.,Ltd.",13.76688,100.570499,-20,41864,48962,717,69,0
15,"Thai Health Insurance Co.,Ltd",13.767422,100.570531,-20,21207,24875,447,0,78
16,Promise Company Ltd Thailand,13.768903,100.571635,-10,26949,30697,505,0,4
17,Alaina,13.77214,100.573009,20,34338,40233,204,55,0
18,"Synergysoft Solution Co.,Ltd.",13.772767,100.572677,10,11990,15196,838,0,52
19,The Emerald Hotel Bangkok,13.77535,100.572713,-40,29634,33153,529,65,0
20,"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947,40,8314,10214,610,10,0
21,Swissotel Le Concorde Bangkok,13.776287,100.574007,30,21700,24493,209,0,1
22,LDS Sermsrap Building,13.780011,100.573355,-30,39323,44279,552,0,24
23,"Mitsubishi (Nanyang Motor (1998) Co.,Ltd.)",13.784776,100.573489,-40,22619,27643,493,0,32
24,Poseidon Entertainment Complex,13.785378,100.573671,-30,29499,36570,30,0,7
25,"Muang Thai Insurance Co.,Ltd.",13.785774,100.574266,20,29415,36440,431,79,0
26,Centric Ratchada-Suthisan,13.789918,100.573567,-20,42494,47769,371,64,0
27,Sutthisan Police Station,13.791643,100.574056,-20,17079,23206,656,28,0
28,Olympia Thai Company Limited,13.800055,100.575025,20,14144,17313,109,0,27
29,Bangkok North Municipal Court,13.811318,100.574536,30,5159,10664,586,62,0
30,The Court of Appeals,13.812652,100.574784,-20,29741,35161,265,0,53
31,Department of Trade,13.81233,100.575661,-20,28590,32833,451,34,0
32,Civil Court (Ratchada),13.81406,100.574777,40,11536,15833,886,23,0
33,Phahon Yothin Police Station,13.8258,100.569827,10,7051,12800,496,72,0
34,Chevron Thailand Exploration and Production LTD.,13.827067,100.566183,-30,14474,18643,198,0,31
35,Siam Commercial Bank Park (SCB. Park Plaza),13.828175,100.564984,-30,17730,24549,53,0,43
36,Supalai Park Ratchayothin,13.830544,100.561589,40,27616,30697,756,2,0
37,Super ratchayothin Company Limited,13.830145,100.561103,30,11738,18875,10,45,0
38,NakhonChaiAir Bus Station,13.828089,100.552213,-40,15364,19143,489,0,80
39,Central Plaza Ladprao,13.816406,100.560817,-10,43174,45533,768,0,68
40,Union Mall,13.812724,100.562365,20,15600,19690,535,70,0
41,Thai Airways International Public Company Limited,13.804657,100.561158,-40,14123,15872,413,71,0
42,Thairath Newspaper,13.804779,100.558903,-30,35230,41396,627,12,0
43,Bangkok Airways,13.806217,100.559521,-20,13784,17745,875,35,0
44,Spring News Corporation Limited,13.806963,100.559399,-20,31495,34383,119,0,74
45,"Fuji Xerox (Thailand) Co.,Ltd",13.808399,100.558816,-10,26684,33113,467,0,37
46,TMB Bank Pulic Company Limited,13.808306,100.557804,-10,26986,31053,448,0,50
47,THE LINE Jatujak-Morchit,13.80621,100.556202,40,21675,24919,163,76,0
48,"Bangkok Broadcasting & TV Co.,Ltd",13.803138,100.556413,10,11994,15504,335,0,49
49,Transport Chatuchak,13.798673,100.553211,40,6402,11290,74,48,0
50,Wannasorn,13.758205,100.534962,30,1479,4422,826,46,0
51,The Ministry of Foreign Affairs,13.762863,100.525626,10,5877,9645,734,0,63
52,The Department of Highways,13.761772,100.524523,20,10104,11971,636,18,0
53,Royal Thai Police,13.744256,100.537408,10,15374,21474,564,30,0
54,Siamkit Building,13.743937,100.534893,40,22890,28204,817,6,0
55,Siam Center,13.746298,100.532809,40,32767,36908,46,0,17
56,King Chulalongkorn Memorial Hospital,13.730903,100.53558,30,12182,13487,4,59,0
57,Chamchuri Square,13.73305,100.529675,40,10582,13433,329,13,0
58,Ministry of Defence,13.751768,100.494593,20,8497,15367,197,73,0
59,Ministry of Interior,13.75068,100.496686,20,24685,31256,214,0,56
60,Territorial Defence Command,13.747122,100.495222,-40,34760,36621,810,0,3
61,Ministry of Finance,13.781515,100.535717,-30,29028,31645,690,0,67
62,Central Jucenile and Family Court,13.79872,100.540997,40,5289,9468,4,0,29
63,Emirates Office,13.743879,100.562742,30,30553,37190,169,51,0
64,"G.M.M. Media Public Co.,Ltd.",13.743534,100.562553,10,6399,9250,282,0,26
65,Ocean Life Insurance,13.742856,100.562025,10,15359,17245,357,0,19
66,Sheraton Grande Sukhumvit,13.737581,100.559036,40,22970,29183,487,0,8
67,JW Marriott Hotel Bangkok,13.741878,100.551934,30,19361,22873,191,61,0
68,Mitr Phol Sugar Corporation Lid.,13.741389,100.552351,10,28664,35248,490,39,0
69,The Okura Prestige Bangkok,13.742633,100.547877,-40,36727,43398,670,0,14
70,Queen Sirikit National Convention Center,13.724092,100.55881,-30,42346,45391,107,0,40
71,FYI Center,13.720459,100.559697,40,2198,9086,219,0,41
72,The Thai life Assurance Association,13.723134,100.548262,-40,16311,23492,355,0,33
73,SO Sofitel Bangkok,13.726081,100.543368,30,25988,31134,58,0,58
74,Hewlett-Packard (Thailand) Ltd.,13.727372,100.540598,20,1641,7568,388,44,0
75,Reuters Software (Thailand) Ltd.,13.727269,100.540842,30,6461,10494,534,22,0
76,CP All Public Co.Ltd,13.727432,100.532824,20,17319,23232,672,0,47
77,"The Nielsen Company (Thailand) Co.,LTD",13.726928,100.531413,-30,22621,25678,327,0,9
78,Srilankan Airlines,13.726982,100.52845,20,11533,13952,53,15,0
79,AIS Tower1,13.783466,100.546388,-40,34066,38963,485,0,25
80,"IBM Solutions Delivery Co.,Ltd.",13.781012,100.545744,20,32459,38653,273,38,0
