,pickup,delivery,distance_between_nodes,distance_from_depot_to_pickup,distance_from_delivery_to_depot
0,4,25,3743,701,3454
1,5,47,10666,1122,11717
2,6,3,1081,1112,381
3,7,1,905,729,2347
4,8,19,3348,740,3020
5,9,10,1846,740,1798
6,11,16,2554,1146,1820
7,14,72,9846,1515,10502
8,15,58,12124,1588,12708
9,17,76,11499,2191,11480
10,18,43,7651,2307,8857
11,22,36,6743,3067,9242
12,24,34,7638,3668,10624
13,26,21,3098,4215,2396
14,27,29,3215,4367,6925
15,30,63,8211,6736,3647
16,31,65,11767,10413,3526
17,32,73,15126,6891,10034
18,33,41,5946,6158,5363
19,35,44,2932,3454,1576
20,38,68,16501,12721,8737
21,40,37,3615,2766,3581
22,42,23,3976,9502,4591
23,45,39,2066,1987,2508
24,46,69,13578,10447,11728
25,48,80,6432,9603,7438
26,51,13,9007,6564,2443
27,52,49,6165,6595,7184
28,54,20,10215,7381,2834
29,55,61,5269,6934,8318
30,56,57,1028,9626,11880
31,60,77,8788,5025,2621
32,64,28,6714,1568,5146
33,66,53,6788,2668,7972
34,67,62,11543,2986,10244
35,70,2,8459,7990,758
36,74,59,6619,8793,11123
37,75,50,6964,8764,5645
38,78,71,5876,12627,12749
39,79,12,6532,7949,1017
,,,,,
MEAN,,,6901.85,5133.9,6248.35
SD,,,3950.63193,3611.349331,3946.534108
