,pickup,delivery,distance_between_nodes,distance_from_depot_to_pickup,distance_from_delivery_to_depot
0,3,17,2909,1777,3303
1,4,70,4429,4443,8304
2,5,2,1468,1122,758
3,9,51,5779,4482,2657
4,12,56,10005,4888,9506
5,13,73,9169,5048,8510
6,14,76,10823,5257,9240
7,15,60,13005,5330,8577
8,18,57,12015,6049,7568
9,19,20,983,2579,2834
10,21,54,7551,6840,3783
11,23,39,5419,5749,9302
12,24,6,3078,3668,1582
13,25,45,5305,5726,7802
14,29,32,305,4503,3696
15,31,27,6047,5969,4730
16,34,52,11704,8616,3059
17,36,35,1267,4525,4090
18,38,26,6796,8953,4980
19,40,61,6962,8069,3306
20,42,62,4998,2656,2342
21,44,43,105,3007,1628
22,46,1,10704,6681,6035
23,47,30,3149,1997,3582
24,48,11,7946,5837,6804
25,50,16,7481,1786,7599
26,55,37,12697,3362,10818
27,58,68,7737,5764,1973
28,59,10,12369,7882,4864
29,64,33,9963,6098,11880
30,66,22,7621,2668,4953
31,67,49,12319,7516,3602
32,69,63,2756,3441,3647
33,71,7,9582,7670,4783
34,72,28,13925,7480,10211
35,75,8,10196,8294,4772
36,77,41,12594,9439,7674
37,78,74,1799,9328,8838
38,79,53,5458,1474,3984
39,80,65,7233,1748,5522
,,,,,
MEAN,,,7141.275,5193.025,5577.45
SD,,,4007.571008,2387.672244,2880.098983
