,pickup,delivery,distance_between_nodes,distance_from_depot_to_pickup,distance_from_delivery_to_depot
0,3,66,4708,1777,5103
1,6,59,10063,1112,11123
2,7,33,8712,729,8395
3,9,12,1345,740,1017
4,15,43,9679,1588,8857
5,16,11,622,1768,1025
6,18,42,8071,2307,9277
7,19,53,8380,2579,7972
8,24,2,4014,3668,758
9,26,68,12752,4215,8737
10,28,71,16701,6124,12749
11,29,69,16703,6775,11728
12,30,23,3305,6736,4591
13,31,48,8307,5969,706
14,32,4,6191,6891,1471
15,35,49,4449,3454,995
16,37,22,6423,9492,4953
17,39,72,13093,11189,10502
18,40,13,9385,11836,2443
19,41,34,4126,2177,4277
20,44,78,12885,9645,11838
21,45,25,6539,9961,3454
22,46,70,11678,10447,5901
23,47,50,8428,10736,5645
24,51,5,6905,6564,1592
25,52,21,8991,6595,2396
26,54,36,14360,7381,9242
27,55,27,10992,6934,6787
28,56,38,13201,9626,13463
29,57,1,11836,8268,2347
30,60,58,1091,5025,5125
31,62,20,8257,8980,2834
32,63,77,8424,1581,13966
33,64,65,974,1568,3526
34,67,14,5059,2986,2073
35,74,73,474,3328,3035
36,75,17,12772,8764,3303
37,76,8,11252,9820,1432
38,79,61,1835,1474,3306
39,80,10,5864,7490,1798
,,,,,
mean,,,7971.15,5707.475,5493.55
sd,,,4420.692744,3450.79293,4024.632756
