,pickup,delivery,distance_between_nodes,distance_from_depot_to_pickup,distance_from_delivery_to_depot
0,1,59,9590,1516,11123
1,2,5,1361,1941,1592
2,3,63,3252,1777,3647
3,4,79,5794,701,7265
4,6,41,7749,1112,7214
5,7,9,1750,729,1432
6,10,69,10885,1328,11728
7,11,25,4189,1146,3454
8,12,74,10023,1146,11048
9,14,50,4988,1515,5645
10,17,60,13608,2191,13589
11,18,34,9418,2307,10624
12,22,21,1951,3067,2396
13,23,13,2485,3630,2443
14,24,77,15462,3668,13966
15,26,36,7888,4215,9242
16,27,42,4966,4367,9277
17,29,19,4377,6775,3020
18,30,64,8224,6736,3660
19,32,46,6379,4619,722
20,33,45,5591,6158,1531
21,35,72,14428,9045,10502
22,37,55,13079,9492,7355
23,38,40,3322,3677,1831
24,43,75,12011,9532,11077
25,47,58,16756,10736,12708
26,48,73,11039,9603,10034
27,49,28,4686,745,3940
28,53,65,3619,4351,3526
29,54,78,3047,7381,11838
30,56,67,3739,2049,1918
31,57,8,8724,8268,1432
32,61,31,8018,8185,6412
33,62,39,4331,1824,2508
34,66,16,4488,2668,1820
35,68,44,11648,3041,8804
36,70,15,10076,7990,2085
37,71,51,8171,8140,7211
38,76,52,6116,9820,7274
39,80,20,5917,7490,2834
,,,,,
mean,,,7328.625,4617.025,6243.175
sd,,,4031.300405,3197.077459,4125.719138
