,pickup,delivery,distance_between_nodes,distance_from_depot_to_pickup,distance_from_delivery_to_depot
0,1,34,11002,4078,11513
1,2,49,6953,5683,3602
2,4,59,9652,4443,7272
3,6,74,9988,4441,8838
4,7,3,698,729,381
5,10,60,12745,5070,8577
6,12,44,9185,4888,7847
7,13,67,7816,5048,10799
8,14,26,3354,1515,3975
9,18,43,7651,6049,7899
10,21,79,8191,6840,1559
11,22,5,2487,3067,1592
12,24,51,8708,7410,2657
13,30,15,5233,9768,7864
14,31,28,5259,5969,3940
15,32,80,10519,9923,1733
16,33,58,18966,11462,7696
17,38,61,9366,8953,3306
18,39,20,6341,7423,6870
19,40,16,8761,8069,7599
20,47,35,3657,1997,4090
21,48,23,5661,5837,5750
22,50,19,6055,1786,6625
23,52,41,9375,3194,7674
24,53,8,5783,4139,4772
25,54,25,10835,3809,9233
26,55,42,11175,3362,7207
27,56,37,15225,9156,10818
28,62,36,6702,1824,4878
29,63,11,2606,1581,1025
30,64,27,8355,6098,11001
31,66,17,5972,2668,3303
32,68,45,11603,7571,7802
33,69,75,4827,7329,8867
34,70,9,9422,7520,4772
35,71,77,3728,7670,8954
36,72,57,3555,7480,7568
37,73,65,4994,8540,5522
38,76,46,12358,9350,6993
39,78,29,15229,9328,9662
,,,,,
MEAN,,,7999.8,5776.675,6300.875
SD,,,3866.337985,2788.911979,2888.306146
