,pickup,delivery,distance_between_nodes,distance_from_depot_to_pickup,distance_from_delivery_to_depot
0,1,2,1862,1516,758
1,3,35,10043,1777,10437
2,4,64,2189,701,3660
3,8,13,2771,740,2443
4,10,54,5781,1328,6625
5,12,24,5089,1146,4354
6,19,71,13156,2579,12749
7,20,17,560,2751,3303
8,22,49,4649,3067,7184
9,23,41,3782,3630,7214
10,25,16,2800,4568,1820
11,29,59,15726,6775,11123
12,31,18,8229,10413,3310
13,33,30,1757,6158,3582
14,36,9,9511,13569,1432
15,38,11,9749,12721,1025
16,39,14,7488,11189,2073
17,40,74,14286,11836,11048
18,42,67,13227,9502,8682
19,43,37,6657,2902,3581
20,44,32,5310,3007,3696
21,45,34,3835,1987,4277
22,48,5,8512,9603,1592
23,51,75,5718,6564,11077
24,55,26,9026,6934,3975
25,56,27,13589,9626,6787
26,57,47,11224,8268,11717
27,60,77,8788,5025,2621
28,61,7,9627,8185,1442
29,62,80,3752,8980,7438
30,63,50,4231,1581,5645
31,65,21,4017,1621,2396
32,66,46,15506,2668,12005
33,68,73,5016,3041,10034
34,69,58,13819,3441,12708
35,70,6,8700,7990,1582
36,72,28,13925,7951,5146
37,76,52,6116,9820,7274
38,78,15,14713,12627,2085
39,79,53,5458,7949,7972
,,,,,
mean,,,7754.85,5893.4,5696.8
sd,,,4352.452074,3889.084104,3767.136491
