,pickup,delivery,distance_between_nodes,distance_from_depot_to_pickup,distance_from_delivery_to_depot
0,2,40,7561,9096,1831
1,4,69,10257,9812,14298
2,5,76,10429,10233,12508
3,6,32,10694,10223,3696
4,7,25,3772,729,3454
5,8,41,7791,9851,5363
6,9,3,709,740,381
7,11,38,12438,10258,4475
8,17,62,10264,8005,2342
9,19,50,6052,8393,8861
10,20,48,7969,6926,706
11,23,74,12506,5655,13618
12,24,73,11531,5892,12604
13,26,65,5569,4215,3526
14,27,10,3993,4367,1798
15,28,58,16660,4297,10963
16,29,71,17724,4503,15319
17,30,72,15438,4464,13072
18,35,13,7900,3454,7951
19,36,59,15506,4525,10539
20,37,61,8097,3901,4196
21,39,33,3077,2119,3334
22,42,66,8845,2656,10511
23,43,16,5668,2902,7328
24,44,15,6039,3007,7593
25,49,21,6356,745,7979
26,51,14,8637,6396,7581
27,52,18,8082,6427,6912
28,53,22,12037,13503,6027
29,54,1,7637,9268,11425
30,55,77,3504,8821,12222
31,56,34,15921,11020,4277
32,57,47,11224,10790,434
33,60,46,12198,11476,722
34,63,31,7992,11176,4031
35,67,12,4003,2986,1017
36,68,80,9095,12637,3292
37,75,45,12393,12274,1531
38,78,70,4547,11838,12399
39,79,64,7826,2384,11045
,,,,,
Mean ,,,8948.525,6799.1,6779.025
SD,,,4023.340932,3762.682988,4545.914692
