,pickup,delivery,distance_between_nodes,distance_from_depot_to_pickup,distance_from_delivery_to_depot
0,1,22,6057,1516,4953
1,2,36,9011,1941,9242
2,9,66,3670,740,5103
3,10,52,6430,1328,7274
4,13,62,9379,1306,10244
5,14,63,2990,1515,3647
6,18,12,1152,2307,1017
7,19,77,14373,2579,13966
8,20,4,2050,2751,1471
9,23,29,4986,3630,6925
10,24,7,2939,3668,1442
11,25,60,15985,4568,13589
12,26,73,10408,4215,10034
13,32,74,16139,6891,11048
14,35,80,9354,9045,7438
15,37,30,2819,3901,3582
16,38,71,16871,12721,12749
17,39,16,7235,11189,1820
18,40,6,9940,11836,1582
19,41,48,2857,2177,706
20,42,27,4956,2656,4730
21,43,28,5449,2902,3940
22,45,8,7914,9961,1432
23,47,76,13617,10736,11480
24,49,46,1461,745,722
25,50,15,7746,5661,2085
26,53,11,5376,4351,1025
27,54,34,13743,7381,10624
28,55,17,8544,6934,3303
29,56,67,3739,2049,1918
30,57,58,5894,8268,12708
31,59,61,7427,11181,8318
32,64,65,974,1568,3526
33,68,44,11648,3041,8804
34,69,33,14460,3441,8395
35,70,31,14055,7990,6412
36,72,3,8331,7951,381
37,75,5,9465,8764,1592
38,78,21,15024,12627,2396
39,79,51,4131,1474,2657
,,,,,
MEAN,,,7964.975,5237.625,5607
AVG,,,4655.883862,3744.704669,4221.733554
