,pickup,delivery,distance_between_nodes,distance_from_depot_to_pickup,distance_from_delivery_to_depot
0,3,13,2048,1777,2443
1,4,7,1731,701,1442
2,8,32,10322,9851,3696
3,9,16,2148,740,1820
4,17,50,5664,8005,8861
5,18,78,11973,8121,11925
6,20,1,2926,2751,2347
7,21,57,12806,6929,14450
8,24,22,599,3668,4953
9,25,23,1137,4568,4591
10,28,5,5544,4297,8516
11,29,35,5860,4503,4090
12,33,15,6927,6158,7593
13,36,69,16699,4525,14298
14,37,77,16231,3901,12222
15,39,11,7857,2119,7950
16,40,31,5028,2766,4031
17,47,19,6265,1997,6698
18,48,6,8502,2425,8506
19,49,72,11473,745,13072
20,51,68,5290,6396,14948
21,52,27,10653,6427,4730
22,53,45,12536,13503,1531
23,54,60,6306,9268,11844
24,55,67,2167,250,1918
25,56,2,10095,11020,11637
26,58,10,12615,10638,8722
27,59,14,13254,10392,7581
28,61,44,5562,3987,1576
29,62,38,4486,1824,4475
30,63,70,3361,11176,12399
31,64,12,2585,1568,1017
32,65,46,11939,11217,722
33,66,79,11069,14784,2698
34,71,41,10825,12736,5363
35,73,42,13155,12519,936
36,74,43,12519,12302,1628
37,75,34,15059,12274,4277
38,76,30,18238,11636,3582
39,80,26,4379,3277,4997
,,,,,
mean,,,8195.825,6443.525,6252.125
sd,,,4820.093152,4374.939507,4370.364652
