,pickup,delivery,distance_between_nodes,distance_from_depot_to_pickup,distance_from_delivery_to_depot
0,2,74,10817,1941,11048
1,4,35,11179,701,10437
2,5,11,1735,1122,1025
3,6,57,10820,1112,11880
4,7,19,3337,729,3020
5,9,3,709,740,381
6,10,67,7838,1328,8682
7,12,1,1322,1146,2347
8,13,28,4316,1306,5146
9,14,62,9588,1515,10244
10,16,33,8027,1768,8395
11,18,23,3386,2307,4591
12,20,17,560,2751,3303
13,21,44,6406,3098,8804
14,22,27,4288,3067,6787
15,24,8,2928,3668,1432
16,25,47,7344,4568,11717
17,26,79,5628,4215,7265
18,30,43,3994,4464,1628
19,32,63,8366,6891,3647
20,36,31,4748,4525,4031
21,38,69,15851,12721,11728
22,41,58,16904,10884,12708
23,42,45,1757,2656,1531
24,46,75,12926,10447,11077
25,48,56,12035,9603,11030
26,49,73,11005,9569,10034
27,50,34,10719,5661,10624
28,53,51,3887,4351,7211
29,54,15,9467,7381,2085
30,55,76,4492,6934,11480
31,59,29,13783,11181,6925
32,60,37,16022,12265,9929
33,61,40,5818,8185,7792
34,64,78,8391,1568,11838
35,66,68,5264,2668,8737
36,70,71,2469,5151,6702
37,72,65,3935,7951,3526
38,77,52,7548,9909,7274
39,80,39,5785,7490,8439
,,,,,
,,,,,
mean,,,7134.85,4988.425,7162
sd,,,4394.303192,3666.857412,3741.553263
